Match Number,Round Number,Date,Location,Home Team,Away Team,Result
2,1,22/02/2025 21:45,BMO Stadium,LAFC,MIN,1 - 0
1,1,23/02/2025 00:30,Chase Stadium,MIA,NYC,2 - 2
3,1,23/02/2025 00:30,Mercedes-Benz Stadium,ATL,MTL,3 - 2
4,1,23/02/2025 00:30,TQL Stadium,CIN,RBNY,1 - 0
5,1,23/02/2025 00:30,Lower.com Field,CLB,CHI,4 - 2
6,1,23/02/2025 00:30,Audi Field,DC,TOR,2 - 2
7,1,23/02/2025 00:30,Inter&Co Stadium,ORL,PHI,2 - 4
8,1,23/02/2025 01:30,Q2 Stadium,ATX,SKC,1 - 0
9,1,23/02/2025 01:30,Shell Energy Stadium,HOU,DAL,1 - 2
10,1,23/02/2025 01:30,GEODIS Park,NSH,NE,0 - 0
11,1,23/02/2025 01:30,Energizer Park,STL,COL,0 - 0
12,1,23/02/2025 03:30,PayPal Park,SJ,RSL,4 - 0
13,1,23/02/2025 03:30,Lumen Field,SEA,CLT,2 - 2
14,1,23/02/2025 21:00,Providence Park,POR,VAN,1 - 4
15,1,24/02/2025 00:00,Dignity Health Sports Park,LA,SD,0 - 2
16,2,01/03/2025 19:15,Bank of America Stadium,CLT,ATL,2 - 0
17,2,01/03/2025 21:30,America First Field,RSL,SEA,2 - 0
18,2,02/03/2025 00:30,Gillette Stadium,NE,CLB,0 - 1
19,2,02/03/2025 00:30,Sports Illustrated Stadium,RBNY,NSH,2 - 0
20,2,02/03/2025 00:30,Inter&Co Stadium,ORL,TOR,4 - 2
21,2,02/03/2025 00:30,Subaru Park,PHI,CIN,4 - 1
22,2,02/03/2025 01:30,Soldier Field,CHI,DC,2 - 2
23,2,02/03/2025 01:30,Children's Mercy Park,SKC,SJ,1 - 2
24,2,02/03/2025 01:30,Allianz Field,MIN,MTL,1 - 0
25,2,02/03/2025 02:30,Dick's Sporting Goods Park,COL,DAL,3 - 3
26,2,02/03/2025 03:30,BMO Stadium,LAFC,NYC,1 - 0
27,2,02/03/2025 03:30,Providence Park,POR,ATX,1 - 0
28,2,02/03/2025 03:30,Snapdragon Stadium,SD,STL,0 - 0
29,2,02/03/2025 22:00,BC Place,VAN,LA,2 - 1
30,2,03/03/2025 00:00,Shell Energy Stadium,HOU,MIA,1 - 4
31,3,08/03/2025 19:30,Lower.com Field,CLB,HOU,0 - 0
32,3,08/03/2025 21:45,Lumen Field,SEA,LAFC,5 - 2
33,3,09/03/2025 00:30,Mercedes-Benz Stadium,ATL,RBNY,0 - 0
34,3,09/03/2025 00:30,TQL Stadium,CIN,TOR,2 - 0
